Current,Position,PosTgt,Speed,PosEst,DistEst,CurrentTgt,Voltage,Current-A,Channel 10
-16,13041,0,69109,13039,-3209,-547,12000,0,1.34351e+07
-15,13185,0,68609,13176,-3221,-543,12000,0,1.34351e+07
-12,13320,0,68699,13314,-3233,-544,12000,0,1.34351e+07
-8,13455,0,68965,13452,-3248,-555,12000,0,1.34351e+07
-14,13599,0,69261,13590,-3263,-551,12000,0,1.34351e+07
-10,13734,0,68920,13728,-3273,-550,12000,0,1.34351e+07
-18,13869,0,68742,13866,-3281,-561,12000,0,1.34351e+07
-11,14013,0,69009,14004,-3292,-557,12000,0,1.34351e+07
-10,14148,0,68738,14141,-3302,-556,12000,0,1.34351e+07
-4,14283,0,69046,14279,-3311,-568,12000,0,1.34351e+07
-15,14418,0,68510,14416,-3320,-567,12000,0,1.34351e+07
-8,14562,0,68764,14553,-3331,-564,12000,0,1.34351e+07
-11,14697,0,68369,14691,-3344,-564,12000,0,1.34351e+07
-10,14832,0,68490,14830,-3357,-575,12000,0,1.34351e+07
-12,14976,0,68481,14968,-3370,-573,12000,0,1.34351e+07
-24,15111,0,68674,15105,-3383,-571,12000,0,1.34351e+07
-7,15246,0,69094,15243,-3399,-580,12000,0,1.34351e+07
-23,15381,0,69081,15381,-3413,-576,12000,0,1.34351e+07
-16,15525,0,68688,15518,-3425,-576,12000,0,1.34351e+07
-15,15660,0,68640,15656,-3435,-587,12000,0,1.34351e+07
-8,15795,0,69073,15794,-3448,-583,12000,0,1.34351e+07
-18,15939,0,68499,15932,-3458,-582,12000,0,1.34351e+07
-9,16074,0,69029,16069,-3466,-593,12000,0,1.34351e+07
-22,16209,0,68998,16207,-3478,-593,12000,0,1.34351e+07
-12,16353,0,68748,16344,-3491,-589,12000,0,1.34351e+07
-16,16488,0,68612,16482,-3506,-589,12000,0,1.34351e+07
-16,16623,0,68636,16619,-3518,-600,12000,0,1.34351e+07
-17,16758,0,68989,16757,-3532,-597,12000,0,1.34351e+07
-10,16902,0,68781,16895,-3544,-595,12000,0,1.34351e+07
-17,17037,0,68830,17033,-3554,-606,12000,0,1.34351e+07
-13,17172,0,68995,17170,-3565,-605,12000,0,1.34351e+07
-12,17316,0,69073,17309,-3579,-601,12000,0,1.34351e+07
-21,17451,0,68855,17447,-3590,-611,12000,0,1.34351e+07
-9,17586,0,68800,17587,-3600,-611,12000,0,1.34351e+07
-13,17730,0,68679,17724,-3610,-608,12000,0,1.34351e+07
